temperature,age,has_children,education,income,Bar,CoffeeHouse,CarryAway,direction_same,Y,avg_revenue_per_month,destination_No Urgent Place,destination_Work,passanger_Friend(s),passanger_Kid(s),passanger_Partner,weather_Snowy,weather_Sunny,time_10PM,time_2PM,time_6PM,time_7AM,coupon_Carry out & Take away,coupon_Coffee House,coupon_Restaurant(20-50),coupon_Restaurant(<20),expiration_2h,gender_Male,maritalStatus_Married partner,maritalStatus_Single,maritalStatus_Unmarried partner,maritalStatus_Widowed,distance_in_time_>25,distance_in_time_>5
55,21,1,0,4,0.0,0.0,2.0,0,1,130.0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1
80,21,1,0,4,0.0,0.0,2.0,0,0,130.0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1
80,21,1,0,4,0.0,0.0,2.0,0,1,130.0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
80,21,1,0,4,0.0,0.0,2.0,0,0,130.0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0
80,21,1,0,4,0.0,0.0,2.0,0,0,130.0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
80,21,1,0,4,0.0,0.0,2.0,0,1,130.0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0
55,21,1,0,4,0.0,0.0,2.0,0,1,130.0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0
80,21,1,0,4,0.0,0.0,2.0,0,1,130.0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0
80,21,1,0,4,0.0,0.0,2.0,0,1,130.0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
80,21,1,0,4,0.0,0.0,2.0,0,0,130.0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
